,NOMBRE,PRECIO (€),LINK,PRODUCTO,PALETA,TIENDA
24,The No Rules Stick Barra Multiusos,15.95,https://www.primor.eu/3ina/83660-the-no-rules-stick-barra-multiusos.html#/3ina_stick-114,SOMBRAS DE OJOS,PRIMAVERA,PRIMOR
25,The No Rules Stick Barra Multiusos,15.95,https://www.primor.eu/3ina/83660-the-no-rules-stick-barra-multiusos.html#/3ina_stick-423,SOMBRAS DE OJOS,PRIMAVERA,PRIMOR
26,The No Rules Stick Barra Multiusos,15.95,https://www.primor.eu/3ina/83660-the-no-rules-stick-barra-multiusos.html#/3ina_stick-244,SOMBRAS DE OJOS,PRIMAVERA,PRIMOR
27,The No Rules Stick Barra Multiusos,15.95,https://www.primor.eu/3ina/83660-the-no-rules-stick-barra-multiusos.html#/3ina_stick-318,SOMBRAS DE OJOS,PRIMAVERA,PRIMOR
28,Mini Paleta de Sombras The Simpsons Summer Of Love,11.9,https://www.primor.eu/revolution/82235-mini-paleta-de-sombras-the-simpsons-summer-of-love.html#/paleta_de_sombras-12_sombras,SOMBRAS DE OJOS,PRIMAVERA,PRIMOR
29,Mini paleta de sombras Looney Tunes™,9.99,https://www.primor.eu/i-heart-revolution/85360-mini-paleta-de-sombras-looney-tunes.html#/looney_tunes-taz,SOMBRAS DE OJOS,PRIMAVERA,PRIMOR
30,Fran Paleta de Sombras,22.95,https://www.primor.eu/krash-kosmetics/57469-fran-paleta-de-sombras.html#/producto-paleta,SOMBRAS DE OJOS,PRIMAVERA,PRIMOR
31,Pablo Paleta de Sombras eyEXshadow,22.95,https://www.primor.eu/krash-kosmetics/64796-pablo-paleta-de-sombras-eyexshadow.html#/producto-paleta,SOMBRAS DE OJOS,PRIMAVERA,PRIMOR
32,Claudia Paleta de Sombras eyEXshadow,22.95,https://www.primor.eu/krash-kosmetics/64795-claudia-paleta-de-sombras-eyexshadow.html#/producto-paleta,SOMBRAS DE OJOS,PRIMAVERA,PRIMOR
33,Cintigar x Krash Paleta de Sombras,22.95,https://www.primor.eu/krash-kosmetics/86815-cintigar-x-krash-paleta-de-sombras.html#/producto-paleta,SOMBRAS DE OJOS,PRIMAVERA,PRIMOR
34,Jose Paleta de sombras,22.95,https://www.primor.eu/krash-kosmetics/57468-jose-paleta-de-sombras.html#/producto-paleta,SOMBRAS DE OJOS,PRIMAVERA,PRIMOR
35,Marcos Paleta de Sombras,22.95,https://www.primor.eu/krash-kosmetics/57467-marcos-paleta-de-sombras.html#/producto-paleta,SOMBRAS DE OJOS,PRIMAVERA,PRIMOR
36,Oscar Mini eyEXshadow Palette,14.95,https://www.primor.eu/krash-kosmetics/70724-oscar-mini-eyexshadow-palette.html#/producto-paleta,SOMBRAS DE OJOS,PRIMAVERA,PRIMOR
37,Paleta de Sombras The Skandal,24.95,https://www.primor.eu/krash-kosmetics/75067-paleta-de-sombras-the-skandal.html#/producto-paleta,SOMBRAS DE OJOS,PRIMAVERA,PRIMOR
38,So F*cking Royal Sombra de Ojos Líquida de Acabado Mate,12.95,https://www.primor.eu/krash-kosmetics/88060-so-fcking-royal-sombra-de-ojos-liquida-de-acabado-mate.html#/tono-raw_sienna,SOMBRAS DE OJOS,PRIMAVERA,PRIMOR
39,So F*cking Royal Sombra de Ojos Líquida de Acabado Mate,12.95,https://www.primor.eu/krash-kosmetics/88060-so-fcking-royal-sombra-de-ojos-liquida-de-acabado-mate.html#/tono-soft_coral,SOMBRAS DE OJOS,PRIMAVERA,PRIMOR
40,So F*cking Royal Sombra de Ojos Líquida de Acabado Mate,12.95,https://www.primor.eu/krash-kosmetics/88060-so-fcking-royal-sombra-de-ojos-liquida-de-acabado-mate.html#/tono-light_magenta,SOMBRAS DE OJOS,PRIMAVERA,PRIMOR
41,So F*cking Royal Sombra de Ojos Líquida de Acabado Mate,12.95,https://www.primor.eu/krash-kosmetics/88060-so-fcking-royal-sombra-de-ojos-liquida-de-acabado-mate.html#/tono-viridian_green,SOMBRAS DE OJOS,PRIMAVERA,PRIMOR
